email_domain,category,agencyName,state,Acronym in header
abc.net.au,Corporate,ABC,,
act.gov.au,Commonwealth,ACT state Government,ACT,
aat.gov.au,Commonwealth,Administrative Appeals Tribunal,,
aiatsis.gov.au,Commonwealth,Administrative Appeals Tribunal,,
asbestossafety.gov.au,Commonwealth,Asbestos Safety and Eradication Agency,,
ag.gov.au,Commonwealth,Attorney-General's Department,,
austrade.gov.au,Commonwealth,Austrade,,
aacqa.gov.au,Commonwealth,Australian Aged Care Quality Agency,,
border.gov.au,Commonwealth,Australian Border Force,,
abs.gov.au,Commonwealth,Australian Bureau of Statistics,,
aciar.gov.au,Commonwealth,Australian Centre for International Agricultural Research,,
accc.gov.au,Commonwealth,Australian Competition and Consumer Commission,,
digitalhealth.gov.au,Commonwealth,Australian Digital Health Agency,,
aec.gov.au,Commonwealth,Australian Electoral Commission,,
afsa.gov.au,Commonwealth,Australian Financial Security Authority,,
aifs.gov.au,Commonwealth,Australian Institute of Family Studies,,
anao.gov.au,Commonwealth,Australian National Audit Office,,
apsc.gov.au,Commonwealth,Australian Public Service Commission,,
arpansa.gov.au,Commonwealth,Australian Radiation Protection and Nuclear Safety Agency,,
ato.gov.au,Commonwealth,Australian Tax Office,,
austrac.gov.au,Commonwealth,Australian Transaction Reports and Analysis Centre,,
barossa.sa.gov.au,Local,Barossa City Council,SA,
bawbawshire.vic.gov.au,Local,Baw Baw Shire,Vic,
bom.gov.au,Commonwealth,Bureau of Meteorology,,
childabuseroyalcommission.gov.au,Commonwealth,Child Abuse Royal Commission,,
boroondara.vic.gov.au,Local,City of Booroondara,Victoria,
casey.vic.gov.au,Local,City of Casey,Victoria,
cgg.wa.gov.au,Local,City of Greater Geraldton,WA,
melbourne.vic.gov.au,Local,City of Melbourne,Victoria,
yarracity.vic.gov.au,Local,City of Yarra,Victoria,
casa.gov.au,Commonwealth,Civil Aviation Safety Authority,,
cleanenergyregulator.gov.au,Commonwealth,Clean Energy Regulator,,
comcare.gov.au,Commonwealth,Comcare,,
csiro.au,Corporate,CSIRO,,
curtin.edu.au,Education,Curtin University,WA,
agriculture.gov.au,Commonwealth,Department of Agriculture and Water Resources,,
communications.gov.au,Commonwealth,Department of Communications and the Arts,,
delwp.vic.gov.au,State,"Department of Environment, Land, Water and Planning",Victoria,
health.gov.au,Commonwealth,Department of Health,,
dpc.vic.gov.au,State,Department of Premier and Cabinet,Victoria,
dsiti.qld.gov.au,State,"Department of Science, Information Technology and Innovation",Queensland,
tmr.qld.gov.au,State,Department of Transport and Main Roads,Queensland,
dva.gov.au,Commonwealth,Department of Veterans Affairs,,
defence.gov.au,Commonwealth,Dept of Defence,,
education.gov.au,Commonwealth,Dept of Education,,
dfat.gov.au,Commonwealth,Dept of Foreign Affairs and Trade,,
humanservices.gov.au,Commonwealth,Dept of Human Services,,
pmc.gov.au,Commonwealth,Dept of Prime Minister and Cabinet,,
dss.gov.au,Commonwealth,Dept of Social Services,,
digital.gov.au,Commonwealth,Digital Transformation Agency,,
dto.gov.au,Commonwealth,Digital Transformation Agency,,
dta.gov.au,Commonwealth,Digital Transformation Agency,,
ecodev.vic.gov.au,State,"Economic Development, Jobs, Transport and Resources",Victoria,
